key,text,version,notes
version,0.1,0.1,0.1
pdf_title,The Promised Seed,0.1,2025-11-25
pdf_subject,Lineage of Jesus,0.1,0.1
Adam,Adam,0.1,Luke 3:38
Seth,Seth,0.1,
Enosh,Enosh,0.1,
Cainan,Cainan,0.1,
Kenan,Kenan,0.1,"Genesis 5:12, Cainan in Luke 3:37"
Mahalaleel,Ma·haʹla·le·el ,0.1,Ma·hala·lel
Jared,Jared,0.1,
Enoch,Enoch,0.1,
Methuselah,Methuselah,0.1,Luke 3:37
Lamech,Lamech,0.1,
Noah,Noah,0.1,
Shem,Shem,0.1,
Arpachshad,Arpachshad,0.1,Luke 3:36
Shelah,Shelah,0.1,
Eber,Eber,0.1,
Peleg,Peleg,0.1,
Reu,Reu,0.1,
Serug,Serug,0.1,Luke 3:35
Nahor,Nahor,0.1,Genesis 11:24
Terah,Terah,0.1,
Abraham,Abraham,0.1,
Isaac,Isaac,0.1,
Jacob,Jacob,0.1,Luke 3:34
Judah,Judah,0.1,Leah
Levi,Levi,0.1,Leah
Reuben,Reuben,0.1,Leah
Simeon,Simeon,0.1,Leah
Issachar,Issachar,0.1,Leah
Zebulun,Zebulun,0.1,Leah
Joseph,Joseph,0.1,Rahel
Benjamin,Benjamin,0.1,Rahel
Asher,Asher,0.1,Zilpah
Gad,Gad,0.1,Zilpah
Naphtali,Naphtali,0.1,Bilhah
Dan,Dan,0.1,Bilhah
Perez,Perez,0.1,from Tamar and Judah
Hezron,Hezron,0.1,
Ram_Arni,Ram (Arni),0.1,"Matthew Ram, Luke Arni"
Amminadab,Amminadab,0.1,
Nahshon,Nahshon,0.1,
Salma_Salmon,Salma (Salmon),0.1,with Rahab (Matthew)
Boaz,Boaz,0.1,with Ruth (Matthew)
Obed,Obed,0.1,
Jesse,Jesse,0.1,
David,David,0.1,with Bathsheba
Nathan,Nathan,0.1,natural through Mary (Luke)
Mattatha,Mattatha,0.1,
Menna,Menna,0.1,
Melea,Melea,0.1,
Elakim,Elakim,0.1,
Jonam,Jonam,0.1,
Joseph,Joseph,0.1,
Judas,Judas,0.1,
Symeon,Symeon,0.1,
Levi,Levi,0.1,
Matthat,Matthat,0.1,
Jorim,Jorim,0.1,
Eliezer,Eliezer,0.1,
Jesus,Jesus,0.1,
Er,Er,0.1,
Elmadam,Elmadam,0.1,
Cosam,Cosam,0.1,
Addi,Addi,0.1,
Melchi,Melchi,0.1,
Neri,Neri,0.1,
Shealtiel,Shealtiel,0.1,
Zerubbabel,Zerubbabel,0.1,overlap two lineages
Rhesa,Rhesa,0.1,
Joanan,Joanan,0.1,
Joda,Joda,0.1,
Josech,Josech,0.1,
Semein,Semein,0.1,
Mattathias,Mattathias,0.1,
Maath,Maath,0.1,
Naggai,Naggai,0.1,
Esli,Esli,0.1,
Nahum,Nahum,0.1,
Amos,Amos,0.1,
Mattathias,Mattathias,0.1,
Joseph,Joseph,0.1,
Jannai,Jannai,0.1,
Melchi,Melchi,0.1,
Levi,Levi,0.1,
Matthat,Matthat,0.1,
Heli,Heli,0.1,
Joseph,Joseph,0.1,
Jesus,Jesus,0.1,
Mary,Mary,0.1,Luke states Joseph here
Solomon,Solomon,0.1,legal line w/ Joseph (Matthew)
Rehoboam,Rehoboam,0.1,
Abijah,Abijah,0.1,
Asa,Asa,0.1,Matt 1:8
Jehoshaphat,Jehoshaphat,0.1,
Jehoram,Jehoram,0.1,
Ahaziah,Ahaziah,0.1,missing in Matthew
Jehoash,Jehoash,0.1,missing in Matthew
Amaziah,Amaziah,0.1,missing in Matthew
Uzziah_Azariah,Uzziah (Azariah),0.1,Matt 1:9
Jotham,Jotham,0.1,
Ahaz,Ahaz,0.1,
Hezekiah,Hezekiah,0.1,
Manasseh,Manasseh,0.1,
Amon,Amon,0.1,
Josiah,Josiah,0.1,
Eliakim_Jehoiakim,Eliakim (Jehoiakim),0.1,
Jeconiah_Jehoiachin,Jeconiah (Jehoiachin),0.1,
Shealtiel,Shealtiel,0.1,
Pedaiah,Pedaiah,0.1,"missing in Matthew, Z in 55"
Abiud,Abiud,0.1,after Zerubbabel (Sheshbazzar)
Eliakim,Eliakim,0.1,
Azor,Azor,0.1,
Zadok,Zadok,0.1,
Achim,Achim,0.1,
Eliud,Eliud,0.1,
Eleazar,Eleazar,0.1,
Matthan,Matthan,0.1,
Jacob,Jacob,0.1,
Joseph,Joseph,0.1,
